SPEEDREL,STATE,FATALS,MDRDSTRD,DAY_WEEK,ST_CASE
0,1,1,0,4,10675
9,1,1,99,1,10676
0,1,1,99,3,10677
0,1,2,99,3,10678
3,1,1,99,5,10679
0,1,1,99,4,10680
0,1,1,99,6,10681
3,1,1,0,7,10682
12,1,1,198,1,10683
3,1,1,0,4,10684
4,1,1,99,7,10685
0,1,1,0,7,10686
3,1,1,0,5,10687
0,1,1,0,5,10688
0,1,1,99,6,10689
0,1,1,0,4,10690
0,1,1,99,1,10691
3,1,1,0,1,10692
0,1,1,99,1,10693
9,1,1,92,2,10694
0,1,1,99,3,10695
4,1,1,99,4,10696
0,1,1,198,4,10697
0,1,1,99,6,10698
0,1,1,6,3,10699
9,1,1,0,7,10700
0,1,>2,99,4,10701
0,1,1,0,5,10702
9,1,1,99,7,10703
0,1,2,99,5,10704
3,1,1,99,1,10705
0,1,1,0,2,10706
0,1,1,99,3,10707
9,1,1,99,4,10708
0,1,1,0,3,10709
3,1,>2,0,7,10710
0,1,1,0,4,10711
0,1,1,0,6,10712
0,1,1,99,4,10713
3,1,1,99,7,10714
0,1,1,12,2,10715
3,1,1,99,4,10716
0,1,1,0,5,10717
3,1,1,100,4,10718
0,1,1,0,7,10719
9,1,2,99,4,10720
0,1,1,99,4,10721
0,1,1,0,7,10722
3,1,1,99,7,10723
4,1,1,99,2,10724
0,1,1,0,5,10725
3,1,1,99,5,10726
0,1,1,0,6,10727
0,1,1,7,7,10728
3,1,1,99,7,10729
0,1,1,0,7,10730
0,1,1,0,1,10731
0,1,1,99,1,10732
3,1,1,0,1,10733
0,1,1,0,1,10734
9,1,1,99,2,10735
0,1,1,0,5,10736
0,1,1,99,1,10737
0,1,1,0,4,10738
0,1,1,99,5,10739
3,1,1,0,5,10740
3,1,1,0,6,10741
0,1,1,0,6,10742
0,1,1,0,6,10743
0,1,1,99,1,10744
0,1,1,99,7,10745
0,1,1,0,5,10746
3,1,1,99,7,10747
0,1,1,0,2,10748
0,1,1,99,4,10749
0,1,1,0,4,10750
0,1,2,0,1,10751
3,1,1,0,6,10752
0,1,1,0,4,10753
0,1,1,1,3,10754
