ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2,STATE,SPEEDREL,MDRDSTRD,SPEEDREL2,MDRDSTRD2
40052,7,21,1,1,1,1,1,4,3,0,1,0
40053,2,16,4,1,1,1,1,4,0,0,0,0
40054,7,17,4,1,10,1,1,4,4,0,1,0
40058,1,0,4,1,1,1,1,4,4,0,1,0
40059,4,21,4,1,1,1,1,4,0,99,0,0
40064,3,10,4,1,1,1,1,4,4,99,1,0
40067,5,9,4,1,1,1,1,4,0,99,0,0
40070,6,7,2,1,1,1,1,4,0,0,0,0
40074,4,20,4,1,1,1,1,4,0,0,0,0
40077,6,16,4,1,1,1,1,4,0,1,0,1
40079,1,20,4,1,1,1,1,4,3,99,1,0
40080,1,21,4,1,1,1,1,4,0,0,0,0
40083,3,6,4,1,1,1,1,4,0,99,0,0
40085,4,15,4,1,1,1,1,4,4,99,1,0
40086,5,19,4,1,1,1,1,4,0,0,0,0
40089,6,16,6,1,10,1,1,4,9,99,1,0
40091,1,17,2,1,1,1,1,4,4,99,1,0
40097,2,20,4,1,10,1,1,4,0,0,0,0
40098,5,8,4,1,10,1,1,4,0,99,0,0
40099,3,10,4,1,1,1,1,4,4,0,1,0
40110,1,2,4,1,1,1,1,4,3,99,1,0
40111,1,12,6,1,1,1,1,4,0,0,0,0
40113,5,13,4,1,1,1,1,4,0,1,0,1
40117,1,1,4,1,1,1,1,4,3,0,1,0
40126,3,1,4,1,1,1,1,4,4,99,1,0
40128,7,1,2,1,1,1,1,4,0,96,0,1
40139,5,21,4,1,1,1,1,4,0,13,0,1
40142,2,18,6,1,1,1,1,4,0,0,0,0
40144,4,0,4,1,1,1,1,4,0,0,0,0
40146,4,16,4,1,10,1,1,4,0,99,0,0
40147,5,5,2,1,10,1,1,4,0,1,0,1
40149,5,20,4,1,1,1,1,4,0,0,0,0
40155,2,6,4,1,1,1,1,4,4,1,1,1
40157,2,22,4,1,1,1,1,4,3,0,1,0
40163,4,17,4,1,10,1,1,4,0,15,0,1
40164,6,21,4,1,1,1,1,4,0,99,0,0
40169,3,6,2,1,1,1,1,4,4,99,1,0
40171,5,23,4,1,1,1,1,4,0,0,0,0
40173,1,2,4,1,1,1,1,4,4,0,1,0
40174,1,6,4,1,1,1,1,4,0,99,0,0
40179,3,14,4,1,1,1,1,4,4,0,1,0
40185,1,23,1,1,10,1,1,4,3,99,1,0
40187,2,8,2,1,1,1,1,4,0,0,0,0
40188,3,4,4,1,1,1,1,4,0,99,0,0
40189,5,22,1,1,1,1,1,4,3,0,1,0
40193,7,17,4,1,1,1,1,4,0,0,0,0
40200,7,5,4,1,1,1,1,4,0,0,0,0
40203,1,23,2,1,1,1,1,4,3,0,1,0
40204,2,13,4,1,1,1,1,4,0,0,0,0
40211,4,14,2,1,1,1,1,4,0,99,0,0
40212,4,19,4,1,1,1,1,4,9,100,1,1
40219,1,14,4,1,1,1,1,4,6,99,1,0
40221,3,7,4,1,1,1,1,4,0,99,0,0
40222,3,12,4,1,1,1,1,4,0,99,0,0
40223,3,19,6,1,1,1,1,4,0,0,0,0
40224,5,16,2,1,1,1,1,4,0,1,0,1
40225,6,13,4,1,1,1,1,4,0,0,0,0
40227,7,9,4,1,1,1,1,4,0,0,0,0
40234,7,6,4,1,1,1,1,4,4,99,1,0
40237,2,8,4,1,1,1,1,4,0,0,0,0
40238,3,11,4,1,1,1,1,4,0,0,0,0
40241,4,8,4,1,1,1,1,4,9,99,1,0
40249,5,14,4,1,10,1,1,4,0,0,0,0
40251,6,3,4,1,1,1,1,4,0,99,0,0
40261,4,20,4,1,1,1,1,4,4,99,1,0
40265,1,6,4,1,1,1,1,4,4,105,1,1
40266,1,23,4,1,1,1,1,4,4,3,1,1
40270,6,16,4,1,1,1,1,4,0,0,0,0
40271,7,1,4,1,1,1,1,4,0,0,0,0
40276,6,7,2,1,1,1,1,4,4,99,1,0
40277,6,20,4,1,1,1,1,4,4,99,1,0
40286,3,14,4,1,1,1,1,4,4,99,1,0
40287,4,1,2,1,1,1,1,4,0,99,0,0
40290,6,18,2,1,2,1,1,4,4,0,1,0
40293,1,5,4,1,1,1,1,4,9,99,1,0
40294,2,11,4,1,1,1,1,4,0,99,0,0
40303,2,17,4,1,1,1,1,4,9,99,1,0
40314,6,0,4,1,1,1,1,4,0,198,0,1
40317,3,9,4,1,1,1,1,4,0,17,0,1
40335,4,13,4,1,1,1,1,4,0,0,0,0
40340,6,22,4,1,10,1,1,4,4,0,1,0
40343,7,4,2,1,1,1,1,4,3,96,1,1
40346,7,2,3,1,1,1,1,4,4,99,1,0
40351,6,16,4,1,1,1,1,4,0,198,0,1
40354,2,15,4,1,1,1,1,4,0,0,0,0
40355,3,11,4,1,1,1,1,4,0,0,0,0
